year,total_precipitation,total_snow,total_rain,avg_temperature
1980,912.4333333333333,11.2,901.2333333333332,14.279781420765026
1981,1115.5,9.7,1105.8,14.256986301369864
1982,809.2,8.999999999999998,800.2,14.335342465753424
1983,1439.5,3.0,1436.5,14.131232876712328
1984,1210.5,9.9,1200.6,13.862021857923498
1985,887.4,23.2,864.2000000000002,14.234246575342466
1986,707.9,16.5,691.4000000000001,14.28
1987,1196.4,1.9000000000000001,1194.5000000000005,14.652876712328768
1988,737.1,11.7,725.4000000000001,14.461475409836064
1989,948.5,38.0,910.5,13.916712328767124
1990,801.6,14.4,787.1999999999998,14.80904109589041
1991,732.5,11.500000000000002,721.0000000000001,14.424109589041096
1992,887.8,28.0,859.8000000000001,14.142076502732241
1993,777.8,38.0,739.8,13.953424657534246
1994,740.2,15.8,724.3999999999999,14.96958904109589
1995,677.2,4.0,673.1,15.127397260273973
1996,917.0,7.8,909.2,14.156830601092896
1997,610.2,12.6,597.6,15.055068493150685
1998,940.0,6.5,933.5,15.396712328767125
1999,665.2,10.0,655.1999999999999,15.456986301369863
2000,1027.1,5.0,1022.1,14.859289617486338
2001,615.3,17.5,597.8,14.873150684931506
2002,833.4,4.9,828.3999999999999,15.410136986301369
2003,1165.6,3.1999999999999997,1162.4,14.496438356164383
2004,923.1,24.833333333333332,898.2666666666667,14.741621129326047
2005,1149.2,1.6,1147.6000000000001,14.763013698630138
2006,601.6,19.299999999999997,580.8,15.691506849315067
2007,781.3,0.0,781.3,15.335068493150686
2008,792.1,5.8999999999999995,786.1999999999998,14.815027322404372
2009,1136.3,5.999999999999999,1130.3,14.76027397260274
2010,917.1,16.0,901.1000000000001,14.74
2011,1240.4,0.8,1239.6,14.35945205479452
2012,835.0,2.4,832.6,14.498360655737704
2013,787.3,4.5,782.8000000000002,15.391506849315068
2014,910.6,7.3999999999999995,903.1999999999999,14.813150684931507
2015,872.8,8.8,864.0,14.96054794520548
2016,923.0,7.0,916.0000000000001,15.32103825136612
2017,1077.8,23.5,1054.3000000000002,15.004246575342465
2018,951.1,13.499999999999998,937.6,15.066301369863012
2019,1121.9,13.000000000000004,1108.8999999999999,14.762465753424658
