year,S_12_5,delta_T,P_6_8,SDI,station_id
1980,57.4,-4.525,240.9,-1.073262191,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1981,31.5,-1.638043478,335.2,-0.153427226,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1982,41.4,-1.386956522,406.1,-0.141009997,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1983,52.599999999999994,-0.592391304,164.4,-0.18827075,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1984,36,-1.113043478,431.20000000000005,-0.092688147,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1985,57.4,-1.941304348,201.6,-0.54971893,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1986,25.3,-1.093478261,260.8,-0.105629835,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1987,25.799999999999997,-4.019565217,207.70000000000002,-0.496658115,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1988,39.2,-2.030434783,238.50000000000003,-0.332184164,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1989,44.3,0.29565217391304344,376.4,0.0346946010633326,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1990,62.8,1.46304347826087,335.3,0.2731204463475915,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1991,65.6,-2.219565217,251.4,-0.57663563,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1992,58,-1.283695652,242,-0.306263941,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1993,76.9,-0.664130435,411.79999999999995,-0.123688522,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1994,77.7,-1.198913043,180.7,-0.512392156,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1995,54.49999999999999,-2.744565217,264.2,-0.563799054,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1996,60.7,-1.516304348,278.3,-0.329412922,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1997,54.8,-0.415217391,229.1,-0.098841885,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1998,46.89999999999999,-0.033695652,274.5,-0.005734022,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
