year,S_12_5,delta_T,P_6_8,SDI,station_id
1980,57.4,-4.525,240.9,-1.0732621911121325,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1981,31.5,-1.638043478260869,335.2,-0.1534272263027047,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1982,41.4,-1.3869565217391309,406.1,-0.14100999717302745,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1983,52.599999999999994,-0.5923913043478263,164.4,-0.18827074970436794,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1984,36.0,-1.113043478260869,431.20000000000005,-0.09268814696871783,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1985,57.4,-1.9413043478260872,201.6,-0.5497189295198235,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1986,25.3,-1.093478260869565,260.8,-0.10562983503923888,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1987,25.799999999999997,-4.019565217391305,207.70000000000002,-0.4966581150875044,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1988,39.2,-2.0304347826086953,238.50000000000003,-0.33218416436210724,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1989,44.3,0.29565217391304344,376.4,0.0346946010633326,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1990,62.8,1.46304347826087,335.3,0.2731204463475915,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1991,65.6,-2.2195652173913047,251.4,-0.576635629803043,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1992,58.0,-1.283695652173914,242.0,-0.30626394142466634,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1993,76.9,-0.6641304347826085,411.79999999999995,-0.12368852228521911,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1994,77.7,-1.1989130434782609,180.7,-0.5123921558877897,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1995,54.49999999999999,-2.7445652173913047,264.2,-0.5637990538601864,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1996,60.7,-1.5163043478260874,278.3,-0.32941292249752396,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1997,54.8,-0.41521739130434815,229.1,-0.09884188505729019,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1998,46.89999999999999,-0.033695652173913036,274.5,-0.005734021904205408,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
1999,92.30000000000001,-4.259782608695652,271.50000000000006,-1.4422981539875777,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2000,71.0,-0.8391304347826087,208.60000000000002,-0.28410487261108275,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2001,45.300000000000004,-1.389130434782609,260.0,-0.24100483523321856,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2002,75.80000000000001,0.7815217391304345,122.0,0.4812092569654097,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2003,42.7,-0.37717391304347847,411.40000000000003,-0.03904272533387243,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2004,52.7,-1.6608695652173915,289.40000000000003,-0.3012952430772392,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2005,28.8,-0.9869565217391307,185.3,-0.1524869062703167,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2006,32.300000000000004,-1.920652173913044,412.59999999999997,-0.14995477354010708,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2007,29.9,-1.6228260869565219,221.20000000000002,-0.2182697766300794,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2008,17.0,0.7956521739130433,161.59999999999997,0.08313249591392713,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2009,38.9,-1.3391304347826087,347.6,-0.14938744319705524,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2010,47.8,-2.690217391304348,277.79999999999995,-0.46106133809229377,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2011,46.0,-0.7402173913043476,283.8,-0.1195134503535952,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2012,15.899999999999999,-1.4608695652173906,328.4,-0.07049305485021237,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
2013,36.1,-1.7391304347826086,355.4,-0.1761057449292356,综合5要素_站点_50136_1980_2019_withptype_filled_withptype
