year,S_12_5,delta_T,P_6_8,SDI,station_id
1980,29.3,4.817391304347826,56.300000000000004,2.4588301534513217,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1981,21.1,8.163043478260871,24.700000000000003,6.6746396657522595,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1982,16.8,7.384782608695652,35.9,3.3526219376407784,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1983,18.9,6.925000000000002,137.3,0.9456474720693171,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1984,34.0,4.294565217391305,99.0,1.4586181318325777,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1985,16.8,3.1586956521739125,48.8,1.0633384473050909,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1986,45.1,6.108695652173913,28.1,9.43333544206481,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1987,62.8,3.6847826086956523,88.79999999999998,2.5738713965290136,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1988,53.599999999999994,3.697826086956522,56.400000000000006,3.4467070542793232,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1989,27.600000000000005,6.413043478260869,38.00000000000001,4.526255629231503,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1990,49.6,7.993478260869565,75.2,5.195932555669181,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1991,35.9,5.908695652173913,39.5,5.22401874236702,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1992,29.800000000000004,5.175,73.29999999999998,2.0726382064198146,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1993,48.5,5.6336956521739125,95.7,2.822516984776233,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1994,54.4,6.138043478260869,33.900000000000006,9.538864015229533,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1995,15.2,6.6173913043478265,65.3,1.5147065572676308,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1996,24.3,5.615217391304348,30.799999999999997,4.276729404116467,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1997,57.2,10.295652173913043,60.0,9.637667246482065,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1998,74.4,4.981521739130434,36.6,9.829559404374127,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
1999,56.599999999999994,5.034782608695651,51.5,5.417123272842667,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2000,23.7,8.591304347826087,77.6,2.5870461961822095,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2001,85.4,6.979347826086957,78.4,7.4968243884664885,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2002,37.5,7.8478260869565215,53.7,5.369812251854627,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2003,52.5,5.415217391304348,72.7,3.852018896603498,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2004,69.1,7.3,60.5,8.188111362775143,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2005,40.4,8.077173913043481,86.2,3.7376689450979113,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2006,59.099999999999994,6.549999999999999,20.4,18.00055444686693,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2007,32.1,7.908695652173912,71.30000000000001,3.506229281911759,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2008,39.3,9.766304347826088,26.5,13.903763248147314,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2009,72.6,7.695652173913046,44.6,12.224094924128783,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2010,167.60000000000002,2.7554347826086953,68.9,6.596810828526608,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2011,73.9,5.766304347826087,53.10000000000001,7.861425101830044,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
2012,34.7,8.413043478260871,83.99999999999999,3.4302570049083605,综合5要素_站点_51053_1980_2019_withptype_filled_withptype
