year,S_12_5,delta_T,P_6_8,SDI,station_id
1980,4.4,4.308695652173913,56.699999999999996,0.3279682521211434,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1981,18.9,6.468478260869564,109.4,1.1063214337822203,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1982,20.599999999999998,6.182608695652172,60.3,2.07412074954332,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1983,11.8,5.672826086956523,73.39999999999999,0.8984523758718991,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1984,2.6,4.803260869565218,91.4,0.13500302887856508,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1985,4.8999999999999995,4.0423913043478255,85.2,0.2295078867302937,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1986,4.9,6.0804347826086955,119.00000000000001,0.24806700833143425,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1987,9.9,5.1684782608695645,37.1,1.3392934399463736,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1988,11.3,3.6141304347826093,155.60000000000002,0.26061471790483653,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1989,5.5,6.893478260869566,35.5,1.0357588691400044,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1990,4.4,6.846739130434782,204.1,0.14680747097713318,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1991,18.500000000000004,4.457608695652174,83.5,0.9747130107380548,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1992,12.5,6.4532608695652165,53.4,1.4799652860608474,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1993,1.7000000000000002,5.816304347826086,101.5,0.09636665777009547,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1994,2.9,6.944565217391304,105.5,0.18891428020795972,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1995,7.300000000000001,4.796739130434783,99.6,0.34771000667542523,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1996,4.4,5.904347826086957,228.20000000000002,0.11329500477799617,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1997,2.2,7.439130434782609,104.49999999999999,0.1549742954274267,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1998,7.2,8.696739130434782,116.0,0.534703303434275,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1999,9.2,6.784782608695651,64.1,0.9572860422132017,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2000,4.3,7.082608695652175,54.0,0.5526744021279208,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2001,3.9000000000000004,6.9750000000000005,28.299999999999997,0.9250923953405203,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2002,0.0,7.8304347826086955,75.9,0.0,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2003,21.800000000000004,6.538043478260869,111.79999999999998,1.2623810465643486,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2004,0.6000000000000001,7.499999999999999,64.69999999999999,0.06838368379290877,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2005,5.4,6.514130434782608,29.599999999999998,1.1456149989094624,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2006,2.3000000000000003,6.467391304347826,73.60000000000001,0.19911606943932242,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2007,9.5,7.269565217391305,90.89999999999999,0.7506194366696131,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2008,13.8,8.206521739130435,84.9,1.3167812910676786,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2009,8.0,8.75,93.60000000000001,0.7391359872055269,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2010,17.2,4.589130434782609,38.2,2.0082101574569458,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2011,5.8999999999999995,6.094565217391305,50.4,0.698142228084313,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2012,6.4,6.249999999999999,133.4,0.2973863363540364,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2013,8.1,7.103260869565218,74.7,0.7590038033903935,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2014,0.6,8.406521739130437,37.5,0.13065381977409168,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2015,34.2,6.911956521739131,55.70000000000001,4.161397795711205,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2016,6.2,7.432608695652173,139.6,0.3275087447914364,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2017,16.0,8.252173913043476,56.7,2.284134455649683,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2018,4.700000000000001,9.854347826086954,181.6,0.253498215457604,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
2019,5.800000000000001,7.777173913043477,110.9,0.40272791270186437,综合5要素_站点_53068_1980_2019_withptype_filled_withptype
1980,9.0,3.0315217391304343,50.099999999999994,0.532830867722827,综合5要素_站点_53195_1980_2019_withptype_filled_withptype
