station_id,year,SWE_total,melt_peak,peak_date
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1980,13.6,7.8,1980-04-17
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1981,8.1,2.9,1981-03-24
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1982,30.0,10.0,1982-05-03
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1983,12.2,6.4,1983-04-30
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1984,6.799999999999999,3.8,1984-04-20
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1985,4.1000000000000005,3.1,1985-03-31
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1986,12.0,6.8,1986-03-31
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1987,12.7,8.8,1987-04-03
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1988,17.1,9.200000000000001,1988-04-09
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1989,2.4,1.0,1989-03-18
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1990,10.100000000000001,6.0,1990-03-18
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1991,16.599999999999998,11.5,1991-04-03
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1992,18.799999999999997,7.5,1992-03-29
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1993,2.8,0.8,1993-04-24
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1994,3.3,2.1,1994-03-27
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1995,7.6000000000000005,6.1,1995-03-28
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1996,9.700000000000001,7.9,1996-03-28
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1997,15.8,12.0,1997-04-05
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1998,8.8,5.0,1998-03-25
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,1999,6.4,3.5,1999-04-26
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2000,1.3,1.0,2000-04-05
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2001,3.0,1.5,2001-03-12
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2002,12.5,3.9,2002-03-08
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2003,5.4,2.0,2003-03-23
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2004,9.399999999999999,5.2,2004-04-04
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2005,0.8,0.6,2005-03-21
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2006,3.7,2.9,2006-04-08
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2007,9.8,4.500000000000002,2007-03-22
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2008,13.7,5.1,2008-04-03
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2009,3.1,1.5,2009-04-02
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2010,7.0,3.2,2010-03-14
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2011,2.9,2.0,2011-04-07
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2012,15.3,6.899999999999999,2012-03-27
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2013,19.0,4.7,2013-04-20
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2014,0.8,0.6,2014-05-04
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2015,36.5,10.4,2015-04-04
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2016,6.5,3.3,2016-04-17
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2017,5.9,3.6,2017-03-17
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2018,11.2,5.699999999999999,2018-04-08
综合5要素_站点_54102_1980_2019_withptype_filled_withptype,2019,4.699999999999999,2.0,2019-04-09
