station_id,year,SWE_total,melt_peak,peak_date
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1980,11.5,3.6,1980-03-26
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1981,9.299999999999999,5.3,1981-03-15
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1982,7.0,6.799999999999999,1982-03-25
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1983,6.6000000000000005,4.7,1983-04-27
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1984,9.799999999999999,7.2,1984-03-27
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1985,6.1,4.3,1985-03-29
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1986,16.7,10.3,1986-04-10
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1987,14.7,3.7,1987-04-09
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1988,15.8,11.2,1988-04-07
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1989,0.8999999999999999,0.8999999999999999,1989-03-20
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1990,39.6,12.4,1990-03-16
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1991,9.1,9.1,1991-03-30
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1992,5.2,2.5,1992-03-24
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1993,18.4,7.7,1993-04-07
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1994,20.200000000000003,11.4,1994-04-12
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1995,6.1000000000000005,3.2,1995-03-19
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1996,4.0,2.8000000000000007,1996-03-26
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1997,3.8,3.8,1997-03-18
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1998,13.4,11.2,1998-03-31
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,1999,20.2,9.6,1999-04-04
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2000,3.5999999999999996,3.5999999999999996,2000-03-25
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2001,11.7,4.0,2001-04-10
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2002,19.3,10.8,2002-03-18
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2003,3.4000000000000004,1.6,2003-03-21
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2004,25.5,8.8,2004-03-25
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2005,2.5,2.1,2005-03-19
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2006,12.8,7.4,2006-04-14
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2007,1.4000000000000001,0.8,2007-04-01
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2008,10.3,4.7,2008-03-13
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2009,8.799999999999999,4.8,2009-03-19
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2010,34.7,15.600000000000001,2010-03-17
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2011,12.399999999999999,6.1,2011-03-27
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2012,0.3,0.3,2012-03-23
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2013,4.7,2.2,2013-03-14
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2014,17.9,8.4,2014-03-19
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2015,11.7,5.9,2015-04-05
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2016,7.6,2.8,2016-03-16
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2017,12.3,4.0,2017-03-26
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2018,47.8,18.8,2018-03-10
综合5要素_站点_51087_1980_2019_withptype_filled_withptype,2019,0.2,0.2,2019-03-17
