station_id,year,hot_days,txx,hot_mean
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,0,32.6,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,0,32.5,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,1,36.5,36.5
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,0,29.7,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,0,30.0,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,1,35.6,35.6
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,0,34.4,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,0,34.1,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,0,33.2,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,0,32.5,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,0,31.7,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,0,31.5,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,0,34.7,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,0,31.0,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,1,35.6,35.6
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,0,32.8,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,0,32.6,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,0,34.3,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,0,30.2,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,2,35.6,35.35
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,3,37.2,35.900000000000006
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,0,34.3,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,1,36.5,36.5
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,0,34.3,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,1,35.7,35.7
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,0,33.3,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,0,34.8,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,1,35.1,35.1
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,1,36.2,36.2
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,0,30.7,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,6,39.3,37.23333333333333
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,0,32.6,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,0,33.8,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,0,33.0,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,2,35.9,35.7
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,2,35.3,35.25
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,0,34.5,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,2,36.2,35.900000000000006
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,0,34.6,
综合5要素_站点_50468_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,0,30.9,
