station_id,year,hot_days,txx,hot_mean
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,3,35.8,35.56666666666666
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,3,37.1,35.9
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,0,33.4,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,1,35.1,35.1
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,0,34.5,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,0,31.6,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,0,34.0,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,2,36.2,36.1
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,0,34.8,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,0,34.3,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,0,32.9,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,0,33.6,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,0,31.6,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,0,32.6,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,0,33.3,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,1,35.5,35.5
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,0,32.8,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,4,36.8,36.5
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,2,36.0,35.9
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,6,37.1,36.03333333333333
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,11,40.4,36.23636363636364
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,2,36.2,35.7
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,0,33.3,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,0,33.5,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,2,36.5,36.3
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,4,37.2,36.175
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,0,33.3,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,7,38.9,36.27142857142857
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,2,38.4,37.3
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,1,37.0,37.0
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,1,35.2,35.2
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,2,36.2,35.95
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,1,35.6,35.6
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,0,33.7,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,3,36.7,36.1
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,0,33.5,
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,9,38.3,36.13333333333333
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,5,40.0,37.3
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,5,38.3,36.760000000000005
综合5要素_站点_54115_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,2,35.5,35.35
