station_id,year,hot_days,txx,hot_mean
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,8,38.0,36.0
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,5,35.8,35.60000000000001
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,3,35.4,35.300000000000004
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,1,35.3,35.3
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,0,34.7,
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,3,36.8,35.9
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,2,36.0,35.65
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,1,35.7,35.7
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,5,38.1,36.67999999999999
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,2,36.6,35.900000000000006
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,2,36.3,35.8
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,11,37.5,35.93636363636364
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,2,36.6,35.900000000000006
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,0,32.8,
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,4,36.3,35.7
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,3,35.7,35.63333333333333
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,2,36.6,36.05
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,3,41.5,38.699999999999996
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,2,37.2,36.35
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,11,39.1,36.67272727272727
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,9,37.9,36.36666666666667
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,7,38.2,36.871428571428574
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,2,37.2,36.2
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,1,36.0,36.0
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,1,35.5,35.5
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,5,37.6,36.38
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,5,37.3,35.92
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,1,36.6,36.6
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,7,36.5,36.0
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,5,36.8,35.86
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,12,41.2,37.233333333333334
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,13,37.3,35.99999999999999
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,0,34.8,
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,4,36.6,36.375
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,5,37.6,36.24000000000001
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,5,36.8,36.0
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,13,38.2,36.38461538461539
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,11,39.5,36.76363636363636
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,2,35.6,35.33333333333333
综合5要素_站点_52576_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,2,35.6,35.33333333333333
