year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,5.6000,1.1000,-11.6700,12.7700,71.5055
1981,17.4000,0.5100,-9.0000,9.5100,165.4328
1982,5.3000,0.1700,-9.5600,9.7300,51.5433
1983,19.0000,-0.3100,-11.7700,11.4600,217.7652
1984,10.8000,1.6800,-9.6400,11.3100,122.1615
1985,10.1000,1.1800,-8.6400,9.8200,99.1530
1986,10.2000,0.1400,-9.8900,10.0300,102.3191
1987,17.2000,0.5300,-8.5400,9.0800,156.1245
1988,23.6000,1.3900,-9.7900,11.1700,263.7266
1989,19.1000,1.3500,-9.7400,11.0900,211.8208
1990,17.9000,-0.5000,-9.4600,8.9600,160.4233
1991,29.3000,1.6100,-10.7200,12.3300,361.2329
1992,17.7000,1.3400,-11.5800,12.9200,228.6913
1993,31.0000,0.8900,-10.8700,11.7600,364.5345
1994,40.1000,0.9800,-8.4200,9.4000,376.7792
1995,24.0000,1.8500,-10.6000,12.4600,298.9849
1996,31.4000,2.1200,-10.1900,12.3100,386.4563
1997,11.3000,0.3900,-9.9700,10.3600,117.0333
1998,31.0000,1.6900,-12.0500,13.7300,425.7431
1999,14.5000,3.3900,-7.6500,11.0400,160.1003
2000,19.6000,0.3100,-10.4500,10.7600,210.9030
2001,13.0000,-0.0500,-7.7600,7.7100,100.2017
2002,28.5000,1.1000,-8.6000,9.7000,276.4810
2003,12.5000,0.8700,-7.8300,8.7000,108.7180
2004,15.3000,2.3400,-7.8500,10.2000,156.0357
2005,22.4000,1.4900,-7.6300,9.1200,204.3681
2006,4.3000,1.1400,-5.2200,6.3600,27.3300
2007,13.1000,2.5700,-8.0600,10.6300,139.2751
2008,38.1000,1.7800,-8.6500,10.4300,397.5051
2009,4.1000,2.0400,-5.9900,8.0300,32.9104
2010,3.7000,2.4000,-6.9400,9.3500,34.5865
2011,19.8000,1.1900,-8.5400,9.7300,192.6373
2012,20.6000,1.6200,-7.2900,8.9000,183.4040
2013,19.5000,1.2400,-7.4800,8.7200,169.9590
2014,31.1000,1.8500,-8.1400,9.9900,310.6199
2015,20.2000,2.0300,-9.6300,11.6700,235.6740
2016,3.6000,1.9500,-7.8000,9.7500,35.0998
2017,11.7000,1.7700,-6.4700,8.2400,96.4538
2018,10.9000,1.8600,-5.4600,7.3200,79.8341
2019,55.7000,0.9600,-8.7400,9.7000,540.2147
