year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,77.5000,2.2100,329.9000,0.5192
1981,115.9000,3.4500,344.6000,1.1589
1982,42.5000,3.8300,373.2000,0.4362
1983,84.6000,4.2300,392.5000,0.9121
1984,94.5000,1.5300,350.9000,0.4126
1985,91.1000,2.7000,384.1000,0.6405
1986,99.5000,2.9600,653.1000,0.4512
1987,63.6000,2.4300,442.2000,0.3489
1988,71.3000,1.9800,351.0000,0.4013
1989,76.4000,4.0000,390.4000,0.7828
1990,110.0000,3.9300,423.6000,1.0210
1991,70.4000,2.9500,372.3000,0.5569
1992,98.8000,3.3000,316.3000,1.0291
1993,51.8000,3.2400,347.3000,0.4838
1994,62.8000,2.9700,370.5000,0.5034
1995,70.7000,2.0600,526.9000,0.2759
1996,51.9000,2.5600,450.9000,0.2948
1997,60.8000,3.5000,190.6000,1.1148
1998,38.5000,6.1100,320.5000,0.7338
1999,58.8000,3.9500,330.0000,0.7032
2000,59.2000,4.2800,388.4000,0.6519
2001,28.6000,4.6200,328.3000,0.4024
2002,58.6000,6.3200,336.3000,1.1018
2003,49.4000,5.4400,278.4000,0.9652
2004,91.5000,4.3900,377.5000,1.0633
2005,36.2000,3.2500,550.7000,0.2137
2006,93.1000,3.9100,330.5000,1.1013
2007,70.8000,3.7900,297.5000,0.9025
2008,29.8000,6.0000,254.4000,0.7026
2009,52.3000,5.1200,437.0000,0.6128
2010,71.2000,2.5500,500.7000,0.3628
2011,27.1000,3.4800,333.8000,0.2828
2012,46.4000,4.1200,491.7000,0.3883
2013,66.3000,3.4900,435.6000,0.5306
2014,64.2000,5.3600,296.4000,1.1603
2015,77.5000,5.4400,396.0000,1.0651
2016,85.0000,5.6300,368.4000,1.2977
2017,48.3000,5.1500,253.1000,0.9822
2018,63.8000,6.2200,375.1000,1.0583
2019,90.8000,5.2300,282.3000,1.6824
