year,total_precipitation,total_snow,total_rain,avg_temperature
1980,857.8,102.6,755.2000000000002,4.314207650273224
1981,812.8,53.599999999999994,759.1999999999999,4.906301369863014
1982,428.40000000000003,57.800000000000004,370.6,6.087945205479452
1983,762.0,29.700000000000003,732.3,5.458082191780822
1984,677.5,51.60000000000001,625.8999999999999,4.768852459016394
1985,820.8,69.6,751.1999999999998,4.69945205479452
1986,948.8,82.19999999999999,866.6,4.586027397260274
1987,790.5,80.10000000000001,710.3999999999999,4.995890410958904
1988,490.0,84.89999999999999,405.09999999999997,5.392896174863388
1989,721.5,44.4,677.1,6.055616438356165
1990,694.4,66.80000000000001,627.6,6.423013698630137
1991,691.5,78.19999999999999,613.3000000000001,5.256164383561644
1992,635.2,61.29999999999999,573.9000000000001,5.343989071038251
1993,518.2,51.5,466.7,5.35972602739726
1994,889.0,42.699999999999996,846.3,6.064931506849314
1995,525.8,18.799999999999997,507.00000000000006,5.955890410958904
1996,609.8,46.699999999999996,563.1000000000001,5.568032786885246
1997,702.3,45.800000000000004,656.4999999999999,5.987945205479452
1998,853.1,39.800000000000004,813.3,6.887397260273973
1999,558.8,91.1,467.69999999999993,5.637260273972602
2000,527.8,92.59999999999998,435.2,4.715573770491804
2001,463.6,28.400000000000002,435.20000000000005,5.303835616438357
2002,626.0,67.8,558.2,6.088493150684932
2003,641.6,43.89999999999999,597.7,6.337534246575342
2004,590.3,103.8,486.5,6.252732240437158
2005,918.8,36.199999999999996,882.6000000000001,5.036164383561644
2006,681.3,61.60000000000001,619.7,5.787123287671234
2007,693.7,70.69999999999999,623.0,7.011232876712328
2008,668.1,47.699999999999996,620.4,6.4568306010928955
2009,665.3,78.49999999999999,586.8000000000001,5.347397260273972
2010,1025.2,155.1,870.0999999999999,5.001643835616438
2011,706.1,44.599999999999994,661.5,5.056712328767124
2012,807.0,114.8,692.1999999999999,4.427868852459016
2013,952.0,156.10000000000002,795.9,4.957534246575342
2014,578.8,30.199999999999996,548.5999999999999,6.01041095890411
2015,724.7,78.5,646.1999999999998,6.420000000000001
2016,962.1,97.9,864.1999999999999,6.143169398907104
2017,1218.3,50.7,1167.5999999999995,6.088493150684932
2018,935.4,67.29999999999998,868.0999999999999,6.167123287671233
2019,1045.9333333333334,64.7,981.2333333333335,6.790776255707763
