year,total_precipitation,total_snow,total_rain,avg_temperature
1980,257.2,44.900000000000006,208.3,1.7669398907103826
1981,381.8,42.4,339.40000000000003,1.3128767123287672
1982,368.5,7.1,361.40000000000003,2.4953424657534247
1983,509.7,44.4,465.29999999999995,2.5356164383561643
1984,281.3,15.1,266.20000000000005,1.4278688524590164
1985,411.3,35.5,375.79999999999995,1.0356164383561643
1986,396.1,33.4,362.7,1.635890410958904
1987,331.9,20.1,311.79999999999995,3.1164383561643834
1988,342.6,23.5,319.1,2.448360655737705
1989,271.5,15.899999999999999,255.6,3.223287671232877
1990,344.8,31.900000000000002,312.90000000000003,3.074794520547945
1991,438.6,30.000000000000007,408.59999999999997,2.4884931506849313
1992,462.2,40.50000000000001,421.7,1.9896174863387979
1993,388.3,36.2,352.1000000000001,2.141369863013699
1994,389.2,40.4,348.79999999999995,3.489041095890411
1995,429.0,13.5,415.50000000000006,2.7800000000000002
1996,445.3,35.50000000000001,409.79999999999995,2.791256830601093
1997,358.7,35.5,323.2,3.4967123287671233
1998,490.0,60.400000000000006,429.6,4.342191780821918
1999,451.4,15.0,436.3999999999999,3.8810958904109585
2000,373.9,14.299999999999999,359.59999999999997,2.636065573770492
2001,255.2,14.2,241.0,3.5375342465753428
2002,350.1,35.6,314.5,3.65972602739726
2003,474.5,49.400000000000006,425.1,2.691232876712329
2004,372.2,13.999999999999998,358.19999999999993,3.6188524590163933
2005,322.8,24.900000000000002,297.9,2.658356164383562
2006,409.1,7.8999999999999995,401.2,3.520821917808219
2007,274.7,42.59999999999999,232.1,3.861369863013698
2008,403.3,35.60000000000001,367.70000000000005,3.2887978142076504
2009,247.6,24.500000000000004,223.1,3.3591780821917805
2010,361.8,36.6,325.2,2.7575342465753425
2011,256.1,12.299999999999999,243.79999999999998,2.381917808219178
2012,372.3,52.1,320.19999999999993,1.9109289617486338
2013,458.7,19.800000000000008,438.90000000000003,3.2958904109589042
2014,344.09999999999997,9.7,334.40000000000003,4.371780821917809
2015,429.8,89.89999999999999,339.9,3.6512328767123288
2016,450.3,37.39999999999999,412.9,3.386885245901639
2017,337.6,30.400000000000002,307.20000000000005,4.044383561643836
2018,441.9666666666667,15.0,426.96666666666664,3.9546118721461188
2019,344.8,59.5,285.29999999999995,4.075159817351598
