year,total_precipitation,total_snow,total_rain,avg_temperature
1980,158.8,58.599999999999994,100.2,4.951366120218579
1981,200.2,57.60000000000001,142.6,5.260547945205479
1982,108.9,30.1,78.79999999999998,6.420000000000001
1983,251.6,39.9,211.7,6.380821917808219
1984,254.9,65.2,189.7,2.052732240437159
1985,152.7,54.20000000000001,98.49999999999999,3.4386301369863013
1986,142.4,68.5,73.89999999999999,4.634520547945205
1987,295.1,105.0,190.10000000000002,4.037534246575342
1988,228.1,61.60000000000001,166.5,4.479781420765027
1989,112.5,36.199999999999996,76.30000000000001,6.290684931506849
1990,203.20000000000002,72.4,130.79999999999998,6.310958904109589
1991,151.1,78.2,72.89999999999999,5.60986301369863
1992,192.3,34.800000000000004,157.5,4.9893442622950825
1993,253.9,64.39999999999999,189.5,4.326575342465754
1994,194.1,57.199999999999996,136.9,5.775890410958904
1995,155.7,24.900000000000002,130.8,6.309041095890412
1996,207.5,103.79999999999998,103.7,4.563934426229508
1997,144.1,67.5,76.60000000000002,6.660821917808219
1998,200.8,90.2,110.60000000000001,5.522739726027397
1999,179.6,57.7,121.89999999999998,6.240821917808219
2000,252.4,94.1,158.3,5.456010928961748
2001,222.20000000000002,81.89999999999998,140.3,5.220821917808219
2002,202.4,85.5,116.89999999999998,6.711506849315068
2003,216.5,65.4,151.10000000000002,5.224383561643836
2004,226.0,95.6,130.4,5.900819672131147
2005,228.3,78.1,150.20000000000002,5.077534246575342
2006,184.6,65.0,119.6,6.070684931506849
2007,230.1,69.1,161.0,7.004931506849315
2008,147.1,61.39999999999999,85.7,6.082786885245902
2009,269.6,118.0,151.6,5.1008219178082195
2010,359.7,217.60000000000005,142.09999999999997,3.9112328767123286
2011,183.1,76.39999999999999,106.7,5.192876712328768
2012,220.7,75.50000000000001,145.20000000000002,4.245901639344262
2013,247.6,47.3,200.3,6.665205479452055
2014,179.1,69.89999999999999,109.2,5.7065753424657535
2015,306.3,115.5,188.89999999999998,6.882465753424658
2016,255.3,120.69999999999997,134.6,6.323224043715848
2017,226.8,40.1,186.70000000000002,6.396986301369863
2018,305.6,103.89999999999998,201.69999999999996,5.362648401826484
2019,219.9,61.19999999999999,158.69999999999996,6.7495890410958905
