year,total_precipitation,total_snow,total_rain,avg_temperature
1980,507.6,49.79999999999999,457.7999999999999,1.8565573770491803
1981,543.6,48.800000000000004,494.79999999999995,2.422191780821918
1982,434.8,56.8,378.00000000000006,3.9786301369863013
1983,671.5,32.1,639.4,2.8695890410958906
1984,581.2,33.3,547.8999999999999,2.047814207650273
1985,690.5,42.4,648.1,2.007945205479452
1986,477.5,23.800000000000004,453.7,2.796986301369863
1987,721.0,93.6,627.4,1.8706849315068492
1988,722.3,63.0,659.3000000000002,2.8284153005464483
1989,432.7,34.800000000000004,397.90000000000003,3.829041095890411
1990,635.7,25.400000000000002,610.3000000000001,4.245753424657535
1991,571.9,52.2,519.7,3.136164383561644
1992,476.9,22.7,437.1,3.08879781420765
1993,568.2,63.8,504.40000000000003,3.209315068493151
1994,752.8,38.199999999999996,714.5999999999999,3.3698630136986303
1995,386.7,32.5,354.2,3.99013698630137
1996,548.3,41.4,506.8999999999999,3.476775956284153
1997,638.7,32.400000000000006,606.3,3.8917808219178083
1998,596.3,47.00000000000001,549.3000000000001,4.151506849315068
1999,364.1,35.7,328.4,2.973150684931507
2000,470.90000000000003,44.900000000000006,425.99999999999994,2.962021857923497
2001,370.6,31.799999999999997,338.8,3.0443835616438357
2002,486.3,38.300000000000004,447.99999999999994,3.7750684931506853
2003,538.3,31.7,506.5999999999999,4.463835616438356
2004,497.5,45.7,451.79999999999995,4.1775956284153
2005,630.1,40.699999999999996,589.4000000000001,3.3189041095890413
2006,460.4,23.200000000000003,437.2,4.043561643835616
2007,363.9,58.800000000000004,305.09999999999997,5.331232876712329
2008,466.0,41.8,424.2,4.733333333333333
2009,650.5,44.4,606.1,3.116712328767123
2010,552.5,129.0,423.5,3.0336986301369864
2011,435.3,12.300000000000002,422.99999999999994,3.9087671232876713
2012,835.7,70.3,765.4000000000001,3.7169398907103823
2013,624.6,67.8,556.7999999999998,3.6810958904109587
2014,660.8,31.400000000000002,629.4,4.647945205479452
2015,614.9,63.70000000000001,551.2,4.956438356164384
2016,546.9,50.2,496.7,3.8360655737704916
2017,527.7,31.8,495.90000000000003,4.475890410958904
2018,755.8,54.00000000000001,701.7999999999998,4.592876712328767
2019,640.4333333333333,78.0,562.4333333333333,5.164657534246575
