year,total_precipitation,total_snow,total_rain,avg_temperature
1980,1277.5,137.79999999999998,1139.7,4.712021857923497
1981,800.0,52.5,747.5,5.409589041095891
1982,1209.7,143.39999999999998,1066.3,5.678082191780822
1983,917.8,74.80000000000001,843.0,5.725479452054795
1984,1364.2,115.60000000000001,1248.6,4.670218579234972
1985,1135.7,69.5,1066.2000000000003,5.026301369863013
1986,732.3,58.599999999999994,673.7000000000002,5.443561643835617
1987,1324.2,111.6,1212.6,5.953972602739726
1988,553.9,32.2,521.7,5.510655737704918
1989,585.0,112.8,472.2,5.856986301369863
1990,1766.3,233.90000000000003,1532.4,6.268219178082192
1991,828.9,90.7,738.1999999999999,5.604657534246575
1992,827.6,58.80000000000001,768.8000000000001,5.713387978142077
1993,1048.7,55.4,993.3,5.376986301369863
1994,1368.7,132.8,1235.8999999999999,6.570136986301369
1995,1101.9,47.1,1054.8,5.794520547945205
1996,1123.0,73.39999999999999,1049.6000000000001,5.5147540983606556
1997,837.9,99.8,738.0999999999999,6.592054794520548
1998,1001.3,111.7,889.5999999999998,7.019178082191781
1999,947.5,53.90000000000001,893.5999999999999,6.473424657534247
2000,1095.4,108.9,986.4999999999999,6.059836065573771
2001,772.8,119.6,653.1999999999999,6.141643835616438
2002,618.6999999999999,45.2,573.4999999999998,6.623561643835616
2003,1561.1,169.29999999999998,1391.8,5.795616438356165
2004,1609.6000000000001,139.3,1470.3000000000002,6.133333333333334
2005,1349.4,78.60000000000001,1270.8,5.80082191780822
2006,807.0,79.59999999999998,727.4,6.880821917808219
2007,1002.8,103.2,899.5999999999999,6.851232876712328
2008,1017.3000000000001,68.80000000000001,948.5,5.812295081967213
2009,976.6,86.1,890.5,6.328767123287672
2010,1102.3,71.19999999999999,1031.1,5.757260273972603
2011,1186.6,98.4,1088.1999999999998,5.405205479452055
2012,739.5,126.4,613.1,5.502732240437158
2013,1020.8000000000001,80.2,940.5999999999999,6.7224657534246575
2014,940.6,87.7,852.8999999999999,6.492876712328767
2015,845.7,71.3,774.4,6.56027397260274
2016,1362.0,98.60000000000001,1263.3999999999999,6.896994535519126
2017,904.6,83.7,820.9000000000001,6.992876712328767
2018,1305.3333333333333,108.53333333333335,1196.8,6.682648401826484
2019,921.6999999999999,124.59999999999998,797.1,7.082465753424657
