year,total_precipitation,total_snow,total_rain,avg_temperature
1980,506.3,10.2,496.1,10.040983606557377
1981,611.5,18.400000000000002,593.0999999999999,10.398082191780823
1982,448.4,3.0,445.4,10.947123287671232
1983,419.7,36.0,383.7,11.006027397260274
1984,512.6,27.4,485.20000000000005,9.81120218579235
1985,871.5,16.7,854.8,9.566027397260275
1986,816.1,21.0,795.1,10.133150684931506
1987,761.8,40.2,721.6,10.335890410958903
1988,808.6,13.700000000000001,794.9,10.71311475409836
1989,433.9,7.1,426.80000000000007,11.228219178082192
1990,682.5,30.5,652.0,11.007671232876714
1991,565.2,23.9,541.3000000000001,10.707945205479453
1992,557.6,24.799999999999997,532.8,10.854098360655737
1993,309.7,11.299999999999999,298.4,11.14986301369863
1994,745.0,13.9,731.1,11.459999999999999
1995,740.9,20.5,720.4,10.795342465753425
1996,484.5,2.6,481.90000000000003,10.507377049180327
1997,548.6,28.0,520.6,11.376712328767123
1998,682.3,8.0,674.3,11.883561643835616
1999,371.0,15.2,355.8,11.68958904109589
2000,482.5,27.400000000000002,455.1,11.48415300546448
2001,310.3,17.400000000000002,292.9,11.517260273972603
2002,303.9,11.3,292.6,12.045753424657534
2003,770.3,29.799999999999997,740.4999999999999,11.664109589041095
2004,623.4,17.099999999999998,606.3,12.059562841530056
2005,596.7,22.300000000000004,574.4,11.59945205479452
2006,441.0,22.199999999999996,418.79999999999995,11.808493150684933
2007,673.2,49.099999999999994,624.0999999999999,12.30958904109589
2008,563.4,6.800000000000001,556.5999999999999,11.882513661202186
2009,430.2,32.1,398.1,12.124931506849316
2010,636.7,23.3,613.4,11.095616438356165
2011,661.6,21.4,640.1999999999999,11.67123287671233
2012,1059.2,15.799999999999999,1043.4,11.25792349726776
2013,490.0,3.6000000000000005,486.40000000000003,11.805479452054794
2014,408.5,22.9,385.5999999999999,13.006575342465753
2015,511.3,104.0,402.29999999999995,12.756986301369864
2016,816.8,23.5,793.3,12.720218579234974
2017,448.1,24.1,424.0,13.258082191780822
2018,656.8,28.599999999999994,628.2,12.712328767123287
2019,592.1,18.400000000000002,573.7,13.374520547945204
