year,total_precipitation,total_snow,total_rain,avg_temperature
1980,16.1,0.7,15.399999999999999,11.926229508196721
1981,106.89999999999999,0.30000000000000004,106.59999999999998,11.412876712328767
1982,30.7,1.2000000000000002,29.5,11.97917808219178
1983,18.700000000000003,5.1,13.600000000000001,11.580821917808219
1984,40.8,0.1,40.7,10.813387978142076
1985,15.3,0.0,15.3,11.754520547945205
1986,10.9,0.0,10.9,11.81123287671233
1987,24.400000000000002,7.5,16.9,12.08904109589041
1988,64.3,0.1,64.2,11.878961748633879
1989,19.1,0.5,18.6,11.811506849315068
1990,18.9,4.1,14.799999999999999,12.237534246575342
1991,22.5,0.0,22.5,11.858356164383562
1992,40.800000000000004,1.8,39.00000000000001,11.409289617486339
1993,45.9,3.7,42.199999999999996,11.715342465753425
1994,9.299999999999999,6.999999999999999,2.3,12.38082191780822
1995,29.4,0.7999999999999999,28.599999999999998,11.806575342465752
1996,23.5,1.7000000000000002,21.799999999999997,11.287704918032787
1997,13.9,0.30000000000000004,13.600000000000001,12.423561643835617
1998,60.5,2.7,57.8,12.87205479452055
1999,29.700000000000003,6.1,23.6,12.57150684931507
2000,38.2,3.5999999999999996,34.6,12.088524590163933
2001,5.1,3.3,1.8000000000000003,12.51917808219178
2002,40.1,6.8,33.300000000000004,12.536438356164384
2003,56.9,2.3,54.599999999999994,11.87917808219178
2004,20.1,3.9000000000000004,16.2,12.905737704918034
2005,117.0,1.8,115.2,12.295068493150685
2006,40.300000000000004,8.6,31.7,12.753150684931505
2007,68.3,0.0,68.30000000000001,13.05013698630137
2008,24.7,3.9,20.799999999999997,12.230601092896174
2009,23.1,11.0,12.100000000000001,12.475068493150683
2010,57.8,1.2,56.599999999999994,12.116712328767123
2011,10.1,0.1,10.0,11.986849315068493
2012,39.9,6.0,33.9,11.318032786885245
2013,63.6,0.5,63.10000000000001,12.375068493150684
2014,7.8,4.8,3.0,11.208219178082192
2015,25.9,6.8,19.099999999999998,12.223561643835618
2016,37.6,1.6,36.0,12.565300546448086
2017,39.8,7.9,31.900000000000002,12.348219178082193
2018,34.43333333333333,4.566666666666666,29.866666666666664,12.385022831050227
2019,34.43333333333333,4.566666666666666,29.866666666666664,12.385022831050227
