year,total_precipitation,total_snow,total_rain,avg_temperature
1980,656.0,102.49999999999997,553.5,3.472950819672131
1981,818.8,50.1,768.6999999999998,3.824931506849315
1982,472.0,61.10000000000001,410.8999999999999,5.165479452054794
1983,549.1,50.6,498.5,4.188219178082192
1984,578.4,59.3,514.0,3.3871584699453554
1985,541.6,62.80000000000001,478.79999999999995,3.9936986301369863
1986,589.5,35.7,553.8000000000001,4.024931506849315
1987,697.3,65.59999999999998,631.6999999999999,3.676438356164384
1988,500.8,49.50000000000001,451.30000000000007,4.530327868852459
1989,513.2,68.39999999999999,444.8,5.248767123287671
1990,630.1,88.8,541.3,5.504657534246576
1991,685.2,57.79999999999999,627.4000000000001,4.538630136986301
1992,456.90000000000003,31.3,425.6000000000001,4.535792349726775
1993,551.1,70.4,480.7,4.394246575342466
1994,670.2,27.500000000000004,642.6999999999999,4.743013698630137
1995,494.0,27.9,466.1,5.265205479452055
1996,505.4,22.1,483.30000000000007,4.283879781420765
1997,495.40000000000003,48.8,446.6,4.787123287671233
1998,439.2,28.3,410.9,5.414520547945205
1999,379.8,42.5,337.29999999999995,4.682191780821918
2000,594.9,75.79999999999997,519.1,4.068032786885246
2001,376.4,71.2,305.20000000000005,4.6876712328767125
2002,621.3,59.7,561.6,4.8
2003,315.5,23.400000000000002,292.09999999999997,5.553424657534246
2004,444.0,55.90000000000001,388.1,4.935792349726776
2005,478.5,25.400000000000002,453.1,4.0479452054794525
2006,577.9,72.5,505.3999999999999,4.320821917808219
2007,485.2,105.7,379.49999999999994,5.472876712328767
2008,643.3,51.300000000000004,592.0,5.438251366120219
2009,597.7,143.90000000000003,453.8000000000001,3.936164383561644
2010,554.5,97.89999999999999,456.6,4.0819178082191785
2011,372.0,44.7,327.3,4.460547945205479
2012,499.0,56.7,442.3,3.9177595628415305
2013,700.7,116.1,584.6,4.388219178082192
2014,539.4,50.099999999999994,489.30000000000007,4.8183561643835615
2015,590.5,75.60000000000001,514.9,5.524383561643836
2016,610.05,56.35,553.6999999999999,4.555191256830601
2017,520.0,37.9,482.1,5.233972602739726
2018,573.0,71.39999999999998,501.40000000000003,5.127397260273972
2019,721.9,73.69999999999999,648.2,5.799452054794521
